"drug_id","spec","qty","rule_key","pre_tc","note"
注射用七叶皂苷钠,"10mg",10,注射用七叶皂苷钠,,
注射用丹参多酚酸盐,"50mg（2瓶/盒）",2,注射用丹参多酚酸盐,,
注射用促肝细胞生长素,"20mg",5,注射用促肝细胞生长素,,
注射用哌拉西林钠他唑巴坦钠,"2.25g*10瓶/盒",10,注射用哌拉西林钠他唑巴坦钠,,
注射用复方甘草酸苷,含甘草酸苷80mg 5支/盒,5,注射用复方甘草酸苷,,
注射用多种维生素(12),"5ml",10,注射用多种维生素(12),,
注射用头孢他啶,"1g",10,注射用头孢他啶,,
注射用头孢呋辛钠,"0.75g",10,注射用头孢呋辛钠,,
注射用头孢呋辛钠/氯化钠注射液,头孢呋辛1.5g，氯化钠100ml∶0.9g,10,注射用头孢呋辛钠/氯化钠注射液,,
注射用头孢唑林钠,"0.5g/10瓶",10,注射用头孢唑林钠,,
注射用头孢曲松钠,"1g",10,注射用头孢曲松钠,,
注射用头孢曲松钠/氯化钠注射液,头孢曲松1.0g，氯化钠注射液 100ml:0.9g,10,注射用头孢曲松钠/氯化钠注射液,,
注射用头孢西丁钠/葡萄糖注射液,"1g:50ml:2.5g*10袋",10,注射用头孢西丁钠/葡萄糖注射液,,
注射用奥美拉唑钠,"40mg（10瓶/盒）",10,注射用奥美拉唑钠,,
注射用尿激酶,"10万单位",10,注射用尿激酶,,
注射用更昔洛韦,"0.25g*10瓶",10,注射用更昔洛韦,,
注射用氢化可的松琥珀酸钠,"0.1g*5支",5,注射用氢化可的松琥珀酸钠,,
注射用氢化可的松琥珀酸钠,"50mg*5支",5,注射用氢化可的松琥珀酸钠,,
注射用泮托拉唑钠,"40mg（10瓶/盒）",10,注射用泮托拉唑钠,,
注射用炎琥宁,"200mg*10支",10,注射用炎琥宁,,
注射用炎琥宁,"80mg",10,注射用炎琥宁（现用）,,
注射用生长抑素,"3mg*5支/盒",5,注射用生长抑素,,
注射用甲泼尼龙琥珀酸钠,"40mg*25支",25,注射用甲泼尼龙琥珀酸钠,,
注射用甲磺酸萘莫司他,"50mg",10,注射用甲磺酸萘莫司他,,
注射用矛头蝮蛇血凝酶,"1单位*5支(国产)",5,注射用矛头蝮蛇血凝酶,,
注射用硝普钠,"50mg",5,注射用硝普钠,,
注射用美罗培南,"0.5g",10,注射用美罗培南,,
注射用苯巴比妥钠,"0.1g*10支",10,注射用苯巴比妥钠,,
注射用血栓通(冻干),"150mg",10,注射用血栓通(冻干),,
注射用谷胱甘肽,"0.6g*10支",10,注射用谷胱甘肽,,
注射用重组人尿激酶原,"5mg(50万IU)",10,注射用重组人尿激酶原,,
注射用阿莫西林钠克拉维酸钾,"1.2g",10,注射用阿莫西林钠克拉维酸钾,,
泮托拉唑钠肠溶片,"40mg*28片",28,泮托拉唑钠肠溶片,,
洛索洛芬钠片,"60mg*20片",20,洛索洛芬钠片,,
洛芬待因缓释片,"0.2g:13mg*20片",20,洛芬待因缓释片,,
活血止痛胶囊,"0.25g*60粒",60,活血止痛胶囊,,
浓氯化钠注射液,"10ml*1g*5支",5,浓氯化钠注射液,,
消旋山莨菪碱片,"5mg*100片",100,消旋山莨菪碱片,,
消炎利胆片,"0.25g*100片",100,消炎利胆片,,
灭菌注射用水(大),"500ml(塑料)",30,灭菌注射用水,,
灭菌注射用水（大）,"500ml（扭断式）",30,灭菌注射用水,,
灭菌注射用水（小）,"5ml*50支",50,灭菌注射用水,,
熊去氧胆酸胶囊,"250mg*24粒/盒",24,熊去氧胆酸胶囊,,
环磷酰胺片,"50mg*14片",14,环磷酰胺片,,
琥珀酸索利那新片,"5mg*7片*2板",14,琥珀酸索利那新片,,
琥珀酸美托洛尔缓释片,"47.5mg*28片",28,琥珀酸美托洛尔缓释片,,
瑞格列奈片,"1mg*30片",30,瑞格列奈片,,
瑞舒伐他汀钙片,"10mg*14片",14,瑞舒伐他汀钙片,,
甘露醇注射液,"50g*250ml直立式聚丙烯输液袋",40,甘露醇注射液,,
生脉注射液,"20ml*3支",3,生脉注射液,,
甲巯咪唑片,"10mg*50片",50,甲巯咪唑片（赛治）,,
甲巯咪唑片（赛治）,"10mg*50片",50,甲巯咪唑片,,
甲氧氯普胺片,"5mg*100片",100,甲氧氯普胺片,,
甲硝唑片,"0.2g*100片",100,甲硝唑片,,
甲硝唑片,"0.2g*100片/瓶",100,甲硝唑片,,
甲硫酸新斯的明注射液,"1ml:0.5mg*10支",10,甲硫酸新斯的明注射液,,
甲硫酸新斯的明注射液,"1ml:0.5mg*5支",5,甲硫酸新斯的明注射液,,
